"SPY","^VIX","^TNX","OIL","GLD","GOLD","^N225","^FTSE","SPXS","SPXL"
"2010-01-01",NA,NA,NA,NA,NA,NA,NA,5412.899902,NA,NA
"2010-01-04",100.920266,20.040001,3.841,26.58,109.800003,79.712078,10654.790039,5500.299805,406.499991,17.92011
"2010-01-05",101.187412,19.35,3.755,26.700001,109.699997,79.770224,10681.830078,5522.5,402.749991,18.08892
"2010-01-06",101.258654,19.16,3.808,27.09,111.510002,81.718206,10731.450195,5530,400.999991,18.137615
"2010-01-07",101.686096,19.059999,3.822,26.93,110.82,81.311167,10681.660156,5526.700195,395.999991,18.351878
"2010-01-08",102.024483,18.129999,3.808,27.02,111.370003,82.231851,10798.320312,5534.200195,391.749991,18.546661
"2010-01-11",102.166966,17.549999,3.818,26.82,112.849998,82.348151,NA,5538.100098,390.499991,18.618089
"2010-01-12",101.214133,18.25,3.719,26.219999,110.489998,79.246886,10879.139648,5498.700195,401.749991,18.072693
"2010-01-13",102.069011,17.85,3.783,25.93,111.540001,80.671528,10735.030273,5473.5,391.249991,18.536923
"2010-01-14",102.345064,17.629999,3.734,25.809999,112.029999,80.594003,10907.679688,5498.200195,388.499991,18.686263
"2010-01-15",101.196319,17.91,3.676,25.35,110.860001,78.898001,10982.099609,5455.399902,401.249991,18.05646
"2010-01-18",NA,NA,NA,NA,NA,NA,10855.080078,5494.399902,NA,NA
"2010-01-19",102.460826,17.58,3.707,25.700001,111.519997,79.469792,10764.900391,5513.100098,386.999991,18.705742
"2010-01-20",101.418944,18.68,3.659,25.02,108.940002,76.90156,10737.519531,5420.799805,397.749991,18.15385
"2010-01-21",99.468748,22.27,3.611,24.559999,107.370003,72.811772,10868.410156,5335.100098,419.749991,17.173435
"2010-01-22",97.251408,27.309999,3.598,23.93,107.169998,71.891088,10590.549805,5303,447.49999,16.03395
"2010-01-25",97.750085,25.41,3.63,24.27,107.480003,71.590656,10512.69043,5260.299805,440.99999,16.270945
"2010-01-26",97.340456,24.549999,3.63,24.040001,107.559998,70.0691,10325.280273,5276.899902,447.49999,16.056681
"2010-01-27",97.803519,23.139999,3.644,23.76,106.529999,69.342242,10252.080078,5217.5,440.99999,16.287169
"2010-01-28",96.681489,23.73,3.658,23.799999,106.480003,69.06119,10414.290039,5145.700195,456.49999,15.709313
"2010-01-29",95.630699,24.620001,3.609,23.49,105.959999,66.803083,10198.040039,5188.5,471.999989,15.134702
"2010-02-01",97.117831,22.59,3.654,24.16,108.349998,70.505212,10205.019531,5247.399902,450.49999,15.852159
"2010-02-02",98.29329,21.48,3.635,24.959999,109.129997,70.970404,10371.089844,5283.299805,432.99999,16.459231
"2010-02-03",97.803519,21.6,3.703,24.83,108.699997,69.313162,10404.330078,5253.200195,439.74999,16.212508
"2010-02-04",94.784728,26.08,3.61,23.59,104.370003,65.213688,10355.980469,5139.299805,480.749989,14.706178
"2010-02-05",94.980639,26.110001,3.546,23.18,104.68,67.529941,10057.089844,5060.899902,477.249989,14.777595
"2010-02-08",94.294951,26.51,3.592,23.049999,104.040001,65.756406,9951.820312,5092.299805,488.499989,14.443219
"2010-02-09",95.479316,26,3.633,23.82,105.410004,68.566924,9932.900391,5111.799805,469.74999,14.991857
"2010-02-10",95.292312,25.4,3.694,24.040001,105.120003,67.210122,9963.990234,5132,471.999989,14.897718
"2010-02-11",96.289667,23.959999,3.733,24.26,107.129997,69.981873,NA,5161.5,456.74999,15.394417
"2010-02-12",96.209525,22.73,3.693,23.940001,107.040001,68.576618,10092.19043,5142.5,456.74999,15.39766
"2010-02-15",NA,NA,NA,NA,NA,NA,10013.299805,5167.5,NA,NA
"2010-02-16",97.723371,22.25,3.664,24.889999,109.620003,71.600342,10034.25,5244.100098,434.74999,16.131342
"2010-02-17",98.186434,21.719999,3.742,25.049999,109.25,71.028551,10306.830078,5276.600098,427.74999,16.371578
"2010-02-18",98.76526,20.629999,3.803,25.57,109.980003,71.726335,10335.69043,5325.100098,419.749991,16.666999
"2010-02-19",98.970071,20.02,3.782,25.790001,109.470001,70.650585,10123.580078,5358.200195,417.249991,16.79686
"2010-02-22",98.987885,19.940001,3.799,25.77,109.07,70.369532,10400.469727,5352.100098,417.749991,16.767642
"2010-02-23",97.785706,21.370001,3.691,25.290001,107.889999,68.033892,10352.099609,5315.100098,433.74999,16.16056
"2010-02-24",98.685112,20.27,3.695,25.77,107.360001,67.684153,10198.830078,5342.899902,421.499991,16.559867
"2010-02-25",98.551535,20.1,3.642,25.15,108.309998,69.238545,10101.959961,5278.200195,422.249991,16.537145
"2010-02-26",98.61387,19.5,3.595,25.65,109.43,69.957458,10126.030273,5354.5,421.249991,16.556624
"2010-03-01",99.637945,19.26,3.606,25.33,109.43,72.08503,10172.05957,5405.899902,407.749991,17.085782
"2010-03-02",99.913998,19.059999,3.614,25.629999,111.019997,73.775439,10221.839844,5484.100098,403.749991,17.257845
"2010-03-03",100.003053,18.83,3.625,26.030001,111.629997,76.126459,10253.139648,5533.200195,402.749991,17.303298
"2010-03-04",100.30582,18.719999,3.606,25.860001,110.830002,73.668574,10145.719727,5527.200195,399.499991,17.446133
"2010-03-05",101.739524,17.42,3.682,26.309999,110.809998,75.329832,10368.959961,5599.799805,381.999991,18.183068
"2010-03-08",101.757331,17.790001,3.708,26.309999,109.879997,73.765722,10585.919922,5606.700195,381.499991,18.205791
"2010-03-09",101.926528,17.92,3.701,26.139999,109.720001,73.513131,10567.650391,5602.299805,379.749992,18.306436
"2010-03-10",102.380684,18.57,3.72,26.34,108.470001,72.201612,10563.919922,5640.600098,373.749992,18.562896
"2010-03-11",102.80812,18.059999,3.72,26.440001,108.599998,73.493704,10664.950195,5617.299805,369.749992,18.770664
"2010-03-12",102.817027,17.58,3.71,26.09,107.949997,72.512491,10751.259766,5625.700195,368.999992,18.819359
"2010-03-15",102.843741,18,3.704,25.67,108.360001,71.706147,10751.980469,5593.899902,369.249992,18.783656
"2010-03-16",103.663005,17.690001,3.653,26.27,110.400002,73.940592,10721.709961,5620.399902,359.749992,19.28684
"2010-03-17",104.277445,16.91,3.642,26.58,109.589996,73.717144,10846.980469,5644.600098,352.999992,19.64719
"2010-03-18",104.224017,16.620001,3.672,26.379999,110.339996,72.813652,10744.030273,5642.600098,354.249992,19.533572
"2010-03-19",103.696459,16.969999,3.687,25.889999,108.279999,70.598642,10824.719727,5650.100098,359.999992,19.208926
"2010-03-22",104.250838,16.870001,3.663,26.120001,107.75,71.550712,NA,5644.5,353.749992,19.575773
"2010-03-23",104.98406,16.35,3.68,26.24,108.32,72.104464,10774.150391,5673.600098,345.999992,20.018074
"2010-03-24",104.474379,17.549999,3.829,25.719999,106.300003,69.967168,10815.030273,5677.899902,350.499992,19.702381
"2010-03-25",104.304492,18.4,3.901,25.700001,106.779999,69.947741,10828.849609,5727.700195,353.499992,19.579431
"2010-03-26",104.241901,17.77,3.855,25.620001,108.589996,71.968455,10996.370117,5703,353.249992,19.59937
"2010-03-29",104.903582,17.59,3.864,26.4,108.75,72.483347,10986.469727,5710.700195,346.749992,19.931672
"2010-03-30",104.975117,17.129999,3.868,26.4,107.970001,72.172469,11097.139648,5672.299805,345.999992,19.981517
"2010-03-31",104.617449,17.59,3.833,26.66,108.949997,74.64007,11089.94043,5679.600098,349.749992,19.778815
"2010-04-01",105.332785,17.469999,3.859,27.280001,110.260002,78.681492,11244.400391,5744.899902,342.249992,20.210809
"2010-04-02",NA,NA,NA,NA,NA,NA,11286.089844,5744.899902,NA,NA
"2010-04-05",106.191184,17.02,3.994,27.85,110.889999,78.322043,11339.299805,5744.899902,332.999993,20.755792
"2010-04-06",106.441549,16.23,3.968,27.84,111.029999,78.535766,11282.320312,5780.399902,330.749993,20.915298
"2010-04-07",105.833516,16.620001,3.863,27.5,112.489998,80.634201,11292.830078,5762.100098,335.999992,20.55309
"2010-04-08",106.20012,16.48,3.896,27.440001,112.650002,79.691849,11168.200195,5712.700195,332.999993,20.745823
"2010-04-09",106.897576,16.139999,3.888,27.23,113.639999,81.090806,11204.339844,5771,326.249993,21.134621
"2010-04-12",107.067463,15.58,3.846,27.030001,113.010002,79.002087,11251.900391,5777.700195,324.249993,21.280838
"2010-04-13",107.147941,16.200001,3.811,26.99,112.690002,79.235244,11161.230469,5761.700195,323.499993,21.314064
"2010-04-14",108.364008,15.59,3.855,27.59,113.029999,79.779287,11204.900391,5796.299805,312.499993,22.031845
"2010-04-15",108.453423,15.89,3.848,27.549999,113.650002,79.206101,11273.790039,5825,311.249993,22.114918
"2010-04-16",106.727682,18.360001,3.77,26.780001,111.239998,77.641991,11102.179688,5744,326.249993,21.081454
"2010-04-19",107.130054,17.34,3.807,26.450001,111.150002,76.835647,10908.769531,5727.899902,322.999993,21.25425
"2010-04-20",108.086812,15.73,3.805,26.6,111.459999,76.03902,10900.679688,5783.700195,314.249993,21.835781
"2010-04-21",107.890101,16.32,3.738,26.57,112.309998,77.20482,11090.049805,5723.399902,315.249993,21.775967
"2010-04-22",108.211994,16.469999,3.772,26.57,111.839996,77.195103,10949.089844,5665.299805,312.249993,21.981998
"2010-04-23",108.918386,16.620001,3.817,27.02,113.190002,79.633561,10914.459961,5723.700195,305.249993,22.423962
"2010-04-26",108.507071,17.469999,3.815,26.620001,112.75,78.458052,11165.790039,5753.899902,308.749993,22.201321
"2010-04-27",105.940818,22.809999,3.69,25.959999,114.629997,77.933443,11212.660156,5603.5,330.749993,20.622874
"2010-04-28",106.745562,21.08,3.773,26.34,114.309998,80.197031,10924.790039,5586.600098,323.999993,21.058186
"2010-04-29",108.068931,18.440001,3.728,27.08,114.279999,81.207381,NA,5617.799805,311.499993,21.8524
"2010-04-30",106.235888,22.049999,3.663,27.290001,115.360001,81.838855,11057.400391,5553.299805,326.999993,20.775731
"2010-05-03",107.612905,20.190001,3.705,27.379999,115.730003,80.73135,NA,5553.299805,314.249993,21.559975
"2010-05-04",105.082412,23.84,3.613,26.17,114.870003,80.401044,NA,5411.100098,336.499992,20.024724
"2010-05-05",104.456499,24.91,3.55,25.219999,115.089996,79.079809,NA,5341.899902,343.499992,19.602689
"2010-05-06",100.987136,32.799999,3.398,24.299999,118.489998,81.848572,10695.69043,5261,377.749992,17.632126
"2010-05-07",99.484937,40.950001,3.429,23.780001,118.269997,80.993658,10364.589844,5123,398.249991,16.758158
"2010-05-10",103.866353,28.84,3.539,24.459999,117.57,80.051305,10530.700195,5387.399902,343.499992,19.014509
"2010-05-11",103.571276,28.32,3.535,24.08,120.660004,87.191802,10411.099609,5334.200195,345.749992,18.898209
"2010-05-12",105.019821,25.52,3.567,24.01,121.400002,88.182725,10394.030273,5383.5,330.749993,19.72232
"2010-05-13",103.714339,26.68,3.564,23.549999,120.559998,86.336888,10620.549805,5433.700195,341.749992,19.031128
"2010-05-14",101.836592,31.24,3.442,22.639999,120.370003,87.259807,10462.509766,5262.899902,360.749992,17.971077
"2010-05-17",101.890239,30.84,3.472,22.01,119.360001,85.753984,10235.759766,5262.5,360.249992,18.004303
"2010-05-18",100.504286,33.549999,3.376,21.73,119.489998,84.772778,10242.639648,5307.299805,375.499992,17.273235
"2010-05-19",99.93202,35.32,3.359,21.77,116.629997,81.54741,10186.839844,5158.100098,382.499991,16.937604
"2010-05-20",96.158637,45.790001,3.264,20.809999,115.839996,77.408834,10030.30957,5073.100098,426.24999,14.996937
"2010-05-21",97.562478,40.099998,3.2,20.93,115.220001,79.342109,9784.540039,5062.899902,407.249991,15.598417
"2010-05-24",96.310644,38.32,3.227,20.84,116.839996,79.468409,9758.400391,5069.600098,422.749991,15.053433
"2010-05-25",96.409003,34.610001,3.158,20.65,117.360001,82.208028,9459.889648,4940.700195,421.499991,15.08002
